name,role,battingStyle,bowlingStyle
Kane Williamson,batsman,Right handed,
Devon Conway,wicketkeeper,Left handed,
Martin Guptill,batsman,Right handed,
Mitchell Santner,allrounder,Left handed,spinner
Trent Boult,bowler,Left handed,fast
Daryl Mitchell,allrounder,Right handed,medium
Glenn Phillips,batsman,Right handed,
Tim Southee,bowler,Right handed,fast
Tom Latham,wicketkeeper,Left handed,
Ish Sodhi,bowler,Right handed,leg spin
James Neesham,allrounder,Right handed,medium fast
