name,role,battingStyle,bowlingStyle
Joe Root,batsman,Right handed,
Jonny Bairstow,wicketkeeper,Right handed,
Ben Duckett,batsman,Left handed,
Liam Livingstone,allrounder,Right handed,spin
Jofra Archer,bowler,Right handed,fast
Moeen Ali,allrounder,Left handed,off spin
Harry Brook,batsman,Right handed,
Mark Wood,bowler,Right handed,fast
Sam Curran,allrounder,Left handed,medium fast
Adil Rashid,bowler,Right handed,leg spin
Jos Buttler,wicketkeeper,Right handed,
