name,role,battingStyle,bowlingStyle
David Warner,batsman,Left handed,
Steve Smith,batsman,Right handed,
Jos Buttler,wicketkeeper,Right handed,
Ben Stokes,allrounder,Left handed,medium fast
Pat Cummins,bowler,Right handed,fast
Glenn Maxwell,allrounder,Right handed,off spin
Travis Head,batsman,Left handed,
Mitchell Starc,bowler,Left handed,fast
Alex Carey,wicketkeeper,Left handed,
Adam Zampa,bowler,Right handed,leg spin
Marcus Stoinis,allrounder,Right handed,medium
