name,role,battingStyle,bowlingStyle
Babar Azam,batsman,Right handed,
Fakhar Zaman,batsman,Left handed,
Mohammad Rizwan,wicketkeeper,Right handed,
Shadab Khan,allrounder,Right handed,leg spin
Shaheen Afridi,bowler,Left handed,fast
Iftikhar Ahmed,allrounder,Right handed,off spin
Imam-ul-Haq,batsman,Left handed,
Haris Rauf,bowler,Right handed,fast
Sarfaraz Ahmed,wicketkeeper,Right handed,
Mohammad Nawaz,allrounder,Left handed,spinner
Naseem Shah,bowler,Right handed,fast
